Fund Holdings as of,"21/Feb/2023"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"AAPL","APPLE INC","Information Technology","Equity","710,079,912.96","24.42","710,079,912.96","4,782,327.00","148.48","United States","NASDAQ","USD"
"MSFT","MICROSOFT CORP","Information Technology","Equity","542,465,308.44","18.65","542,465,308.44","2,146,932.00","252.67","United States","NASDAQ","USD"
"NVDA","NVIDIA CORP","Information Technology","Equity","170,826,557.85","5.87","170,826,557.85","827,047.00","206.55","United States","NASDAQ","USD"
"V","VISA INC CLASS A","Information Technology","Equity","119,811,220.92","4.12","119,811,220.92","543,066.00","220.62","United States","New York Stock Exchange Inc.","USD"
"MA","MASTERCARD INC CLASS A","Information Technology","Equity","100,363,989.88","3.45","100,363,989.88","281,953.00","355.96","United States","New York Stock Exchange Inc.","USD"
"AVGO","BROADCOM INC","Information Technology","Equity","78,088,028.12","2.69","78,088,028.12","134,278.00","581.54","United States","NASDAQ","USD"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","67,764,538.74","2.33","67,764,538.74","1,363,746.00","49.69","United States","NASDAQ","USD"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","56,325,827.95","1.94","56,325,827.95","209,273.00","269.15","United States","New York Stock Exchange Inc.","USD"
"ADBE","ADOBE INC","Information Technology","Equity","53,533,947.00","1.84","53,533,947.00","154,410.00","346.70","United States","NASDAQ","USD"
"CRM","SALESFORCE INC","Information Technology","Equity","53,485,876.32","1.84","53,485,876.32","330,936.00","161.62","United States","New York Stock Exchange Inc.","USD"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","51,473,552.88","1.77","51,473,552.88","301,438.00","170.76","United States","NASDAQ","USD"
"QCOM","QUALCOMM INC","Information Technology","Equity","46,053,510.00","1.58","46,053,510.00","372,300.00","123.70","United States","NASDAQ","USD"
"ORCL","ORACLE CORP","Information Technology","Equity","43,998,721.20","1.51","43,998,721.20","510,426.00","86.20","United States","New York Stock Exchange Inc.","USD"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","41,211,517.86","1.42","41,211,517.86","536,818.00","76.77","United States","NASDAQ","USD"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","39,560,679.02","1.36","39,560,679.02","300,362.00","131.71","United States","New York Stock Exchange Inc.","USD"
"INTU","INTUIT INC","Information Technology","Equity","37,180,283.28","1.28","37,180,283.28","93,828.00","396.26","United States","NASDAQ","USD"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","35,581,933.10","1.22","35,581,933.10","1,365,385.00","26.06","United States","NASDAQ","USD"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","31,796,479.52","1.09","31,796,479.52","285,734.00","111.28","United States","NASDAQ","USD"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","31,769,813.01","1.09","31,769,813.01","170,833.00","185.97","United States","NASDAQ","USD"
"ADP","AUTOMATIC DATA PROCESSING INC","Information Technology","Equity","31,049,427.92","1.07","31,049,427.92","138,194.00","224.68","United States","NASDAQ","USD"
